From Time,To Time,Transaction Name,Count,Amount (in crores)
2022-01-01,2022-03-28,Merchant payments,3748851071,227281.81293765205
2022-01-01,2022-03-28,Peer-to-peer payments,3074250150,1050593.6803336926
2022-01-01,2022-03-28,Recharge & bill payments,749674246,44759.984813141185
2022-01-01,2022-03-28,Financial Services,4035100,492.1211866489969
2022-01-01,2022-03-28,Others,16393502,842.2766458459174
2022-04-01,2022-06-28,Merchant payments,4765203787,284709.68773863406
2022-04-01,2022-06-28,Peer-to-peer payments,3506141323,1212352.4700463535
2022-04-01,2022-06-28,Recharge & bill payments,845751926,52304.60929879396
2022-04-01,2022-06-28,Financial Services,3272822,388.9787479819907
2022-04-01,2022-06-28,Others,11241480,671.103413116017
2022-07-01,2022-09-28,Merchant payments,5618132071,315161.4767860314
2022-07-01,2022-09-28,Peer-to-peer payments,3957113406,1283780.3371386288
2022-07-01,2022-09-28,Recharge & bill payments,956164949,60704.86997303645
2022-07-01,2022-09-28,Financial Services,3959631,451.42231644699984
2022-07-01,2022-09-28,Others,10005043,672.5900102770244
2022-10-01,2022-12-28,Merchant payments,6565690145,367360.1044800037
2022-10-01,2022-12-28,Peer-to-peer payments,4459859921,1457887.4324207227
2022-10-01,2022-12-28,Recharge & bill payments,991049281,64977.684758025
2022-10-01,2022-12-28,Financial Services,4623387,536.0528394309982
2022-10-01,2022-12-28,Others,10013085,736.1492606590162
