From Time,To Time,Transaction Name,Count,Amount (in crores)
2021-01-01,2021-03-28,Merchant payments,1467948823,84446.66338968679
2021-01-01,2021-03-28,Peer-to-peer payments,1447600942,517085.6441552582
2021-01-01,2021-03-28,Recharge & bill payments,530118545,26018.24407304327
2021-01-01,2021-03-28,Financial Services,3075296,357.38847785300817
2021-01-01,2021-03-28,Others,8851525,519.9901891890039
2021-04-01,2021-06-28,Peer-to-peer payments,1744272888,616316.5772736494
2021-04-01,2021-06-28,Merchant payments,1499626469,100353.09422875987
2021-04-01,2021-06-28,Recharge & bill payments,685024821,30055.946129590222
2021-04-01,2021-06-28,Financial Services,3397384,365.19965234499955
2021-04-01,2021-06-28,Others,9061732,559.8131364820072
2021-07-01,2021-09-28,Merchant payments,2316924871,142696.55587835558
2021-07-01,2021-09-28,Peer-to-peer payments,2215575286,742935.7587018912
2021-07-01,2021-09-28,Recharge & bill payments,714583744,34923.45926904992
2021-07-01,2021-09-28,Financial Services,3112160,404.33427623300236
2021-07-01,2021-09-28,Others,13558464,714.6868847289721
2021-10-01,2021-12-28,Merchant payments,3152394530,199585.58221606427
2021-10-01,2021-12-28,Peer-to-peer payments,2716561423,920391.037149178
2021-10-01,2021-12-28,Recharge & bill payments,738096162,40726.68947831069
2021-10-01,2021-12-28,Financial Services,4141629,502.8434834240034
2021-10-01,2021-12-28,Others,14562602,929.6993478869578
