From Time,To Time,Transaction Name,Count,Amount (in crores)
2020-01-01,2020-03-28,Peer-to-peer payments,693998661,232055.72688535927
2020-01-01,2020-03-28,Merchant payments,566355270,23129.804220983606
2020-01-01,2020-03-28,Recharge & bill payments,351300991,14037.355036715579
2020-01-01,2020-03-28,Financial Services,1358171,77.38481370300016
2020-01-01,2020-03-28,Others,10027019,411.6905195820729
2020-04-01,2020-06-28,Peer-to-peer payments,631031364,224391.5932390771
2020-04-01,2020-06-28,Recharge & bill payments,448842692,17159.068646315784
2020-04-01,2020-06-28,Merchant payments,363275861,22690.822604951398
2020-04-01,2020-06-28,Financial Services,1682062,175.17674441000088
2020-04-01,2020-06-28,Others,3779461,198.74661802098683
2020-07-01,2020-09-28,Peer-to-peer payments,916790263,328705.1873253504
2020-07-01,2020-09-28,Merchant payments,672019839,40529.12078942984
2020-07-01,2020-09-28,Recharge & bill payments,436172619,20426.23557097218
2020-07-01,2020-09-28,Financial Services,2531978,267.30634329600065
2020-07-01,2020-09-28,Others,5541374,278.99075636502215
2020-10-01,2020-12-28,Peer-to-peer payments,1249512647,447454.8495095518
2020-10-01,2020-12-28,Merchant payments,1127490136,68487.3639322252
2020-10-01,2020-12-28,Recharge & bill payments,479784084,22787.58408421121
2020-10-01,2020-12-28,Financial Services,2942567,325.91681957499407
2020-10-01,2020-12-28,Others,9556404,532.3095366309718
