From Time,To Time,Transaction Name,Count,Amount (in crores)
2019-01-01,2019-03-28,Peer-to-peer payments,404841331,88789.31086315129
2019-01-01,2019-03-28,Recharge & bill payments,180504739,5547.307102887885
2019-01-01,2019-03-28,Merchant payments,110496541,4057.5915112522002
2019-01-01,2019-03-28,Financial Services,4627353,60.385204200003244
2019-01-01,2019-03-28,Others,8526177,548.4252454820415
2019-04-01,2019-06-28,Peer-to-peer payments,384711008,119642.52815869926
2019-04-01,2019-06-28,Recharge & bill payments,209898072,7686.584858698372
2019-04-01,2019-06-28,Merchant payments,206467182,7341.584073988434
2019-04-01,2019-06-28,Financial Services,2650384,54.53293080899862
2019-04-01,2019-06-28,Others,11656557,696.942386383034
2019-07-01,2019-09-28,Peer-to-peer payments,461911865,144051.25114707006
2019-07-01,2019-09-28,Merchant payments,376320628,12320.939848444375
2019-07-01,2019-09-28,Recharge & bill payments,240103872,10152.09298110681
2019-07-01,2019-09-28,Financial Services,2870292,61.71208399299941
2019-07-01,2019-09-28,Others,13804992,670.5143103510092
2019-10-01,2019-12-28,Peer-to-peer payments,703497002,196395.25352230904
2019-10-01,2019-12-28,Merchant payments,456578271,17423.96464730316
2019-10-01,2019-12-28,Recharge & bill payments,285310032,11634.499624426739
2019-10-01,2019-12-28,Financial Services,2476840,55.12042254200497
2019-10-01,2019-12-28,Others,12583379,481.18225096499987
